Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
CYNO,Cynosure Inc,52.85,$1.25B,2005,Health Care,Biotechnology Electromedical & Electrotherapeutic Apparatus,http//www.nasdaq.com/symbol/cyno,
CY,Cypress Semiconductor Corporation,11.24,$3.61B,1986,Technology,Semiconductors,http//www.nasdaq.com/symbol/cy,
CYRN,CYREN Ltd.,2.3711,$92.76M,na,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/cyrn,
CONE,CyrusOne Inc,50.86,$4.07B,2013,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/cone,
CYTK,Cytokinetics Incorporated,11.94,$474.06M,2004,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/cytk,
CTMX,CytomX Therapeutics Inc,11.09,$402.44M,2015,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/ctmx,
CYTX,Cytori Therapeutics Inc,2.21,$45.29M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/cytx,
CYTXW,Cytori Therapeutics Inc,0.8499,na,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/cytxw,
CTSO,Cytosorbents Corporation,4.74,$120.58M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/ctso,
CYTR,CytRx Corporation,0.5811,$56.33M,1986,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/cytr,
DJCO,Daily Journal Corp. (S.C.),224,$309.29M,na,Consumer Services,Newspapers/Magazines,http//www.nasdaq.com/symbol/djco,
DAKT,Daktronics Inc,6.97,$307.33M,1994,Consumer Durables,Miscellaneous manufacturing industries,http//www.nasdaq.com/symbol/dakt,
DRIO,DarioHealth Corp.,3.49,$19.94M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/drio,
DRIOW,DarioHealth Corp.,1,na,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/driow,
DAIO,Data I/O Corporation,3.35,$26.73M,1981,Capital Goods,Electrical Products,http//www.nasdaq.com/symbol/daio,
DTLK,Datalink Corporation,10.28,$227.53M,1999,Technology,EDP Services,http//www.nasdaq.com/symbol/dtlk,
DRAM,Dataram Corporation,1.595,$5.4M,na,Technology,Electronic Components,http//www.nasdaq.com/symbol/dram,
DWCH,Datawatch Corporation,5.84,$69.34M,1992,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/dwch,
PLAY,Dave & Buster's Entertainment Inc,43.82,$1.83B,2014,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/play,
DTEA,DAVIDsTEA Inc.,13.86,$339.67M,2015,Consumer Non-Durables,Food Chains,http//www.nasdaq.com/symbol/dtea,
DWSN,Dawson Geophysical Company,7.56,$163.46M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/dwsn,
DBVT,DBV Technologies S.A.,34.29,$1.66B,2014,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/dbvt,
DHRM,Dehaier Medical Systems Limited,1.65,$11.26M,2010,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/dhrm,
DFRG,Del Frisco's Restaurant Group Inc,15.51,$362.2M,2012,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/dfrg,
TACO,Del Taco Restaurants Inc,10.7,$406.35M,2014,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/taco,
TACOW,Del Taco Restaurants Inc,2.8415,na,2014,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/tacow,
DCTH,Delcath Systems Inc,3.96,$5.97M,2000,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/dcth,
DMPI,DelMar Pharmaceuticals Inc,6.449,$64.9M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/dmpi,
DGAS,Delta Natural Gas Company Inc,24.6,$174.22M,1981,Public Utilities,Oil & Gas Production,http//www.nasdaq.com/symbol/dgas,
DELT,Delta Technology Holdings Limited,1.67,$16.06M,na,Basic Industries,Major Chemicals,http//www.nasdaq.com/symbol/delt,
DELTW,Delta Technology Holdings Limited,0.1249,na,2013,Basic Industries,Major Chemicals,http//www.nasdaq.com/symbol/deltw,
DENN,Denny's Corporation,10.98,$821.33M,na,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/denn,
XRAY,DENTSPLY SIRONA Inc.,60.09,$14B,1987,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/xray,
DEPO,Depomed Inc,21.255,$1.3B,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/depo,
DSCI,Derma Sciences Inc,4.92,$139.26M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/dsci,
DERM,Dermira Inc,31.29,$1.11B,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/derm,
DEST,Destination Maternity Corporation,5.95,$83.14M,na,Consumer Services,Clothing/Shoe/Accessory Stores,http//www.nasdaq.com/symbol/dest,
DXLG,Destination XL Group Inc,5.39,$274.05M,na,Consumer Services,Clothing/Shoe/Accessory Stores,http//www.nasdaq.com/symbol/dxlg,
DSWL,Deswell Industries Inc,1.75,$28.1M,1995,Consumer Non-Durables,Plastic Products,http//www.nasdaq.com/symbol/dswl,
DTRM,Determine Inc,1.761,$20.02M,na,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/dtrm,
DXCM,DexCom Inc,90.62,$7.6B,2005,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/dxcm,
DXTR,Dextera Surgical Inc.,2.32,$20.73M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/dxtr,
DHXM,DHX Media Ltd.,6.0036,$174.46M,na,na,na,http//www.nasdaq.com/symbol/dhxm,
DHIL,Diamond Hill Investment Group Inc,190,$650.98M,na,Finance,Investment Managers,http//www.nasdaq.com/symbol/dhil,
FANG,Diamondback Energy Inc,95.01,$7.41B,2012,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/fang,
DCIX,Diana Containerships Inc.,4.01,$37.54M,na,Transportation,Marine Transportation,http//www.nasdaq.com/symbol/dcix,
DRNA,Dicerna Pharmaceuticals Inc,3.55,$73.67M,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/drna,
DFBG,Differential Brands Group Inc.,4.63,$57.32M,na,Consumer Non-Durables,Apparel,http//www.nasdaq.com/symbol/dfbg,
DGII,Digi International Inc.,11.83,$307.13M,1989,Technology,Computer Communications Equipment,http//www.nasdaq.com/symbol/dgii,
DMRC,Digimarc Corporation,34.72,$315.61M,na,Technology,EDP Services,http//www.nasdaq.com/symbol/dmrc,
DRAD,Digirad Corporation,5.03,$98.44M,2004,Health Care,Biotechnology Electromedical & Electrotherapeutic Apparatus,http//www.nasdaq.com/symbol/drad,
